PLAYER_NAME,PLAYER_ID,TEAM
Paul Millsap,200794,Hawks
Malcolm Delaney,1627098,Hawks
Ersan Ilyasova,101141,Hawks
Dwight Howard,2730,Hawks
Tim Hardaway Jr.,203501,Hawks
Taurean Prince,1627752,Hawks
Jose Calderon,101181,Hawks
Dennis Schröder,203471,Hawks
Kent Bazemore,203145,Hawks
Thabo Sefolosha,200757,Hawks
Ryan Kelly,203527,Hawks
Mike Muscala,203488,Hawks
Mike Dunleavy,2399,Hawks
Kris Humphries,2743,Hawks
DeAndre' Bembry,1627761,Hawks
Avery Bradley,202340,Celtics
Isaiah Thomas,202738,Celtics
Jaylen Brown,1627759,Celtics
Jonas Jerebko,201973,Celtics
Demetrius Jackson,1627743,Celtics
Terry Rozier,1626179,Celtics
James Young,203923,Celtics
Gerald Green,101123,Celtics
Marcus Smart,203935,Celtics
Kelly Olynyk,203482,Celtics
Al Horford,201143,Celtics
Tyler Zeller,203092,Celtics
Jordan Mickey,1626175,Celtics
Amir Johnson,101161,Celtics
Jae Crowder,203109,Celtics
Kevin Love,201567,Cavaliers
James Jones,2592,Cavaliers
Kyrie Irving,202681,Cavaliers
Derrick Williams,202682,Cavaliers
Iman Shumpert,202697,Cavaliers
JR Smith,2747,Cavaliers
Channing Frye,101112,Cavaliers
Tristan Thompson,202684,Cavaliers
Kay Felder,1627770,Cavaliers
LeBron James,2544,Cavaliers
Richard Jefferson,2210,Cavaliers
Kyle Korver,2594,Cavaliers
Dahntay Jones,2563,Cavaliers
Deron Williams,101114,Cavaliers
Edy Tavares,204002,Cavaliers
DeMarcus Cousins,202326,Pelicans
Tim Frazier,204025,Pelicans
Omer Asik,201600,Pelicans
Jordan Crawford,202348,Pelicans
Axel Toupane,1626253,Pelicans
Jrue Holiday,201950,Pelicans
Donatas Motiejunas,202700,Pelicans
Cheick Diallo,1627767,Pelicans
Quincy Pondexter,202347,Pelicans
Quinn Cook,1626188,Pelicans
Anthony Davis,203076,Pelicans
Dante Cunningham,201967,Pelicans
Alexis Ajinca,201582,Pelicans
Solomon Hill,203524,Pelicans
E'Twaun Moore,202734,Pelicans
Isaiah Canaan,203477,Bulls
Jerian Grant,1626170,Bulls
Dwyane Wade,2548,Bulls
Bobby Portis,1626171,Bulls
Cristiano Felicio,1626245,Bulls
Michael Carter-Williams,203487,Bulls
Robin Lopez,201577,Bulls
Rajon Rondo,200765,Bulls
Anthony Morrow,201627,Bulls
Paul Zipser,1627835,Bulls
Jimmy Butler III,202710,Bulls
Cameron Payne,1626166,Bulls
Nikola Mirotic,202703,Bulls
Denzel Valentine,1627756,Bulls
Joffrey Lauvergne,203530,Bulls
Nerlens Noel,203457,Mavericks
J.J. Barea,200826,Mavericks
Manny Harris,202412,Mavericks
Dwight Powell,203939,Mavericks
Nicolas Brussino,1627852,Mavericks
Dorian Finney-Smith,1627827,Mavericks
Yogi Ferrell,1627812,Mavericks
DeAndre Liggins,202732,Mavericks
Jarrod Uthoff,1627784,Mavericks
AJ Hammons,1627773,Mavericks
Wesley Matthews,202083,Mavericks
Seth Curry,203552,Mavericks
Devin Harris,2734,Mavericks
Harrison Barnes,203084,Mavericks
Dirk Nowitzki,1717,Mavericks
Salah Mejri,1626257,Mavericks
Emmanuel Mudiay,1626144,Nuggets
Darrell Arthur,201589,Nuggets
Jameer Nelson,2749,Nuggets
Mike Miller,2034,Nuggets
Will Barton,203115,Nuggets
Danilo Gallinari,201568,Nuggets
Gary Harris,203914,Nuggets
Nikola Jokić,203999,Nuggets
Wilson Chandler,201163,Nuggets
Mason Plumlee,203486,Nuggets
Malik Beasley,1627736,Nuggets
Jamal Murray,1627750,Nuggets
Roy Hibbert,201579,Nuggets
Kenneth Faried,202702,Nuggets
Juancho Hernangomez,1627823,Nuggets
Patrick McCaw,1627775,Warriors
JaVale McGee,201580,Warriors
David West,2561,Warriors
Kevon Looney,1626172,Warriors
Andre Iguodala,2738,Warriors
Klay Thompson,202691,Warriors
Damian Jones,1627745,Warriors
James Michael McAdoo,203949,Warriors
Ian Clark,203546,Warriors
Matt Barnes,2440,Warriors
Draymond Green,203110,Warriors
Zaza Pachulia,2585,Warriors
Stephen Curry,201939,Warriors
Shaun Livingston,2733,Warriors
Kevin Durant,201142,Warriors
Trevor Ariza,2772,Rockets
Patrick Beverley,201976,Rockets
Ryan Anderson,201583,Rockets
Montrezl Harrell,1626149,Rockets
Sam Dekker,1626155,Rockets
Bobby Brown,201628,Rockets
Eric Gordon,201569,Rockets
Lou Williams,101150,Rockets
James Harden,201935,Rockets
Troy Williams,1627786,Rockets
Clint Capela,203991,Rockets
Isaiah Taylor,1627819,Rockets
Chinanu Onuaku,1627778,Rockets
Kyle Wiltjer,1627787,Rockets
Nene,2403,Rockets
Diamond Stone,1627754,Clippers
Raymond Felton,101109,Clippers
Chris Paul,101108,Clippers
JJ Redick,200755,Clippers
Marreese Speights,201578,Clippers
DeAndre Jordan,201599,Clippers
Alan Anderson,101187,Clippers
Brice Johnson,1627744,Clippers
Jamal Crawford,2037,Clippers
Luc Mbah a Moute,201601,Clippers
Austin Rivers,203085,Clippers
Brandon Bass,101138,Clippers
Blake Griffin,201933,Clippers
Wesley Johnson,202325,Clippers
Paul Pierce,1718,Clippers
Nick Young,201156,Lakers
D'Angelo Russell,1626156,Lakers
Corey Brewer,201147,Lakers
Jordan Clarkson,203903,Lakers
Larry Nance Jr.,1626204,Lakers
Luol Deng,2736,Lakers
David Nwaba,1628021,Lakers
Tyler Ennis,203898,Lakers
Brandon Ingram,1627742,Lakers
Thomas Robinson,203080,Lakers
Timofey Mozgov,202389,Lakers
Tarik Black,204028,Lakers
Julius Randle,203944,Lakers
Metta World Peace,1897,Lakers
Ivica Zubac,1627826,Lakers
Josh Richardson,1626196,Heat
Chris Bosh,2547,Heat
Wayne Ellington,201961,Heat
Josh McRoberts,201177,Heat
Luke Babbitt,202337,Heat
Goran Dragic,201609,Heat
Tyler Johnson,204020,Heat
Dion Waiters,203079,Heat
Okaro White,1627855,Heat
James Johnson,201949,Heat
Rodney McGruder,203585,Heat
Justise Winslow,1626159,Heat
Hassan Whiteside,202355,Heat
Willie Reed,203186,Heat
Udonis Haslem,2617,Heat
Gary Payton II,1627780,Bucks
Spencer Hawes,201150,Bucks
Jason Terry,1891,Bucks
Thon Maker,1627748,Bucks
Matthew Dellavedova,203521,Bucks
Michael Beasley,201563,Bucks
Jabari Parker,203953,Bucks
Malcolm Brogdon,1627763,Bucks
Greg Monroe,202328,Bucks
Rashad Vaughn,1626173,Bucks
Tony Snell,203503,Bucks
Khris Middleton,203114,Bucks
John Henson,203089,Bucks
Giannis Antetokounmpo,203507,Bucks
Mirza Teletovic,203141,Bucks
Tyus Jones,1626145,Timberwolves
Kris Dunn,1627739,Timberwolves
Brandon Rush,201575,Timberwolves
Gorgui Dieng,203476,Timberwolves
Zach LaVine,203897,Timberwolves
Ricky Rubio,201937,Timberwolves
Nikola Pekovic,201593,Timberwolves
Shabazz Muhammad,203498,Timberwolves
Omri Casspi,201956,Timberwolves
Andrew Wiggins,203952,Timberwolves
Jordan Hill,201941,Timberwolves
Karl-Anthony Towns,1626157,Timberwolves
Adreian Payne,203940,Timberwolves
Cole Aldrich,202332,Timberwolves
Nemanja Bjelica,202357,Timberwolves
Randy Foye,200751,Nets
Sean Kilpatrick,203930,Nets
Jeremy Lin,202391,Nets
Spencer Dinwiddie,203915,Nets
Archie Goodwin,203462,Nets
Brook Lopez,201572,Nets
Joe Harris,203925,Nets
Quincy Acy,203112,Nets
KJ McDaniels,203909,Nets
Isaiah Whitehead,1627785,Nets
Caris LeVert,1627747,Nets
