PLAYER_NAME,PLAYER_ID,TEAM
Jeff Teague,201952,Hawks
Paul Millsap,200794,Hawks
Tim Hardaway Jr.,203501,Hawks
Tiago Splitter,201168,Hawks
Kirk Hinrich,2550,Hawks
Lamar Patterson,203934,Hawks
Al Horford,201143,Hawks
Dennis Schröder,203471,Hawks
Edy Tavares,204002,Hawks
Kent Bazemore,203145,Hawks
Thabo Sefolosha,200757,Hawks
Kyle Korver,2594,Hawks
Mike Muscala,203488,Hawks
Mike Scott,203118,Hawks
Kris Humphries,2743,Hawks
Avery Bradley,202340,Celtics
Isaiah Thomas,202738,Celtics
Jared Sullinger,203096,Celtics
Jonas Jerebko,201973,Celtics
Evan Turner,202323,Celtics
Terry Rozier,1626179,Celtics
James Young,203923,Celtics
RJ Hunter,1626154,Celtics
John Holland,204066,Celtics
Marcus Smart,203935,Celtics
Kelly Olynyk,203482,Celtics
Tyler Zeller,203092,Celtics
Jordan Mickey,1626175,Celtics
Amir Johnson,101161,Celtics
Jae Crowder,203109,Celtics
Kevin Love,201567,Cavaliers
James Jones,2592,Cavaliers
Kyrie Irving,202681,Cavaliers
Iman Shumpert,202697,Cavaliers
JR Smith,2747,Cavaliers
Matthew Dellavedova,203521,Cavaliers
Channing Frye,101112,Cavaliers
Jordan McRae,203895,Cavaliers
Tristan Thompson,202684,Cavaliers
Sasha Kaun,201619,Cavaliers
Timofey Mozgov,202389,Cavaliers
LeBron James,2544,Cavaliers
Richard Jefferson,2210,Cavaliers
Dahntay Jones,2563,Cavaliers
Mo Williams,2590,Cavaliers
Tyreke Evans,201936,Pelicans
Tim Frazier,204025,Pelicans
Omer Asik,201600,Pelicans
James Ennis III,203516,Pelicans
Kendrick Perkins,2570,Pelicans
Luke Babbitt,202337,Pelicans
Eric Gordon,201569,Pelicans
Jrue Holiday,201950,Pelicans
Alonzo Gee,202087,Pelicans
Toney Douglas,201962,Pelicans
Quincy Pondexter,202347,Pelicans
Anthony Davis,203076,Pelicans
Jordan Hamilton,202706,Pelicans
Norris Cole,202708,Pelicans
Ryan Anderson,201583,Pelicans
Alexis Ajinca,201582,Pelicans
Dante Cunningham,201967,Pelicans
Aaron Brooks,201166,Bulls
Derrick Rose,201565,Bulls
Doug McDermott,203926,Bulls
Bobby Portis,1626171,Bulls
Cristiano Felicio,1626245,Bulls
Justin Holiday,203200,Bulls
Spencer Dinwiddie,203915,Bulls
Joakim Noah,201149,Bulls
Pau Gasol,2200,Bulls
Tony Snell,203503,Bulls
Jimmy Butler III,202710,Bulls
Taj Gibson,201959,Bulls
Mike Dunleavy,2399,Bulls
Cameron Bairstow,203946,Bulls
Nikola Mirotic,202703,Bulls
E'Twaun Moore,202734,Bulls
Justin Anderson,1626147,Mavericks
Raymond Felton,101109,Mavericks
Charlie Villanueva,101111,Mavericks
J.J. Barea,200826,Mavericks
Dwight Powell,203939,Mavericks
Deron Williams,101114,Mavericks
JaVale McGee,201580,Mavericks
Jeremy Evans,202379,Mavericks
Wesley Matthews,202083,Mavericks
Chandler Parsons,202718,Mavericks
Zaza Pachulia,2585,Mavericks
Devin Harris,2734,Mavericks
Dirk Nowitzki,1717,Mavericks
David Lee,101135,Mavericks
Salah Mejri,1626257,Mavericks
Emmanuel Mudiay,1626144,Nuggets
Darrell Arthur,201589,Nuggets
Jameer Nelson,2749,Nuggets
Mike Miller,2034,Nuggets
Will Barton,203115,Nuggets
Axel Toupane,1626253,Nuggets
Danilo Gallinari,201568,Nuggets
JaKarr Sampson,203960,Nuggets
D.J. Augustin,201571,Nuggets
Gary Harris,203914,Nuggets
Nikola Jokić,203999,Nuggets
Wilson Chandler,201163,Nuggets
Jusuf Nurkić,203994,Nuggets
Kenneth Faried,202702,Nuggets
Joffrey Lauvergne,203530,Nuggets
Brandon Rush,201575,Warriors
Marreese Speights,201578,Warriors
Andre Iguodala,2738,Warriors
Klay Thompson,202691,Warriors
Andrew Bogut,101106,Warriors
Anderson Varejao,2760,Warriors
Leandro Barbosa,2571,Warriors
James Michael McAdoo,203949,Warriors
Ian Clark,203546,Warriors
Draymond Green,203110,Warriors
Stephen Curry,201939,Warriors
Festus Ezeli,203105,Warriors
Shaun Livingston,2733,Warriors
Kevon Looney,1626172,Warriors
Harrison Barnes,203084,Warriors
Andrew Goudelock,202726,Rockets
Trevor Ariza,2772,Rockets
Patrick Beverley,201976,Rockets
Josh Smith,2746,Rockets
Terrence Jones,203093,Rockets
Sam Dekker,1626155,Rockets
Michael Beasley,201563,Rockets
Dwight Howard,2730,Rockets
James Harden,201935,Rockets
Clint Capela,203991,Rockets
Donatas Motiejunas,202700,Rockets
Jason Terry,1891,Rockets
KJ McDaniels,203909,Rockets
Corey Brewer,201147,Rockets
Montrezl Harrell,1626149,Rockets
Chris Paul,101108,Clippers
JJ Redick,200755,Clippers
DeAndre Jordan,201599,Clippers
Jeff Green,201145,Clippers
Pablo Prigioni,203143,Clippers
Jamal Crawford,2037,Clippers
Luc Mbah a Moute,201601,Clippers
Jeff Ayres,201965,Clippers
Branden Dawson,1626183,Clippers
Austin Rivers,203085,Clippers
C.J. Wilcox,203912,Clippers
Blake Griffin,201933,Clippers
Wesley Johnson,202325,Clippers
Paul Pierce,1718,Clippers
Cole Aldrich,202332,Clippers
Nick Young,201156,Lakers
D'Angelo Russell,1626156,Lakers
Brandon Bass,101138,Lakers
Anthony Brown,1626148,Lakers
Ryan Kelly,203527,Lakers
Jordan Clarkson,203903,Lakers
Larry Nance Jr.,1626204,Lakers
Marcelo Huertas,1626273,Lakers
Roy Hibbert,201579,Lakers
Lou Williams,101150,Lakers
Kobe Bryant,977,Lakers
Tarik Black,204028,Lakers
Julius Randle,203944,Lakers
Metta World Peace,1897,Lakers
Robert Sacre,203135,Lakers
Josh Richardson,1626196,Heat
Chris Bosh,2547,Heat
Joe Johnson,2207,Heat
Dwyane Wade,2548,Heat
Josh McRoberts,201177,Heat
Amar'e Stoudemire,2405,Heat
Goran Dragic,201609,Heat
Tyler Johnson,204020,Heat
Luol Deng,2736,Heat
Dorell Wright,2748,Heat
Briante Weber,1627362,Heat
Gerald Green,101123,Heat
Justise Winslow,1626159,Heat
Hassan Whiteside,202355,Heat
Udonis Haslem,2617,Heat
O.J. Mayo,201564,Bucks
Michael Carter-Williams,203487,Bucks
Steve Novak,200779,Bucks
Tyler Ennis,203898,Bucks
Jabari Parker,203953,Bucks
Greg Monroe,202328,Bucks
Damien Inglis,203996,Bucks
Miles Plumlee,203101,Bucks
Jerryd Bayless,201573,Bucks
Rashad Vaughn,1626173,Bucks
Greivis Vasquez,202349,Bucks
Khris Middleton,203114,Bucks
John Henson,203089,Bucks
Giannis Antetokounmpo,203507,Bucks
Johnny O'Bryant III,203948,Bucks
Tyus Jones,1626145,Timberwolves
Greg Smith,202962,Timberwolves
Gorgui Dieng,203476,Timberwolves
Zach LaVine,203897,Timberwolves
Ricky Rubio,201937,Timberwolves
Damjan Rudez,204014,Timberwolves
Tayshaun Prince,2419,Timberwolves
Nikola Pekovic,201593,Timberwolves
Shabazz Muhammad,203498,Timberwolves
Kevin Garnett,708,Timberwolves
Andrew Wiggins,203952,Timberwolves
Karl-Anthony Towns,1626157,Timberwolves
Adreian Payne,203940,Timberwolves
Nemanja Bjelica,202357,Timberwolves
Shane Larkin,203499,Nets
Chris McCullough,1626191,Nets
Jarrett Jack,101127,Nets
Sean Kilpatrick,203930,Nets
Sergey Karasev,203508,Nets
Brook Lopez,201572,Nets
Henry Sims,203156,Nets
Donald Sloan,202388,Nets
Wayne Ellington,201961,Nets
Markel Brown,203900,Nets
Rondae Hollis-Jefferson,1626178,Nets
Thaddeus Young,201152,Nets
Willie Reed,203186,Nets
Thomas Robinson,203080,Nets
Bojan Bogdanović,202711,Nets
Kevin Seraphin,202338,Knicks
Langston Galloway,204038,Knicks
Jose Calderon,101181,Knicks
Arron Afflalo,201167,Knicks
Tony Wroten,203100,Knicks
Kristaps Porziņģis,204001,Knicks
Carmelo Anthony,2546,Knicks
Robin Lopez,201577,Knicks
Kyle O'Quinn,203124,Knicks
Cleanthony Early,203921,Knicks
Jerian Grant,1626170,Knicks
Lou Amundson,200811,Knicks
Sasha Vujacic,2756,Knicks
Derrick Williams,202682,Knicks
Lance Thomas,202498,Knicks
Aaron Gordon,203932,Magic
Dewayne Dedmon,203473,Magic
Elfrid Payton,203901,Magic
Victor Oladipo,203506,Magic
Ersan Ilyasova,101141,Magic
Nikola Vučević,202696,Magic
Evan Fournier,203095,Magic
