,Player,$,Form,TP.,Pos,team
182,Isaiah Joe,5.4,20.5,1302.7,back,OKC
68,Mouhamed Gueye,4.9,20.4,572.3,front,ATL
183,T.J. McConnell,9.4,20.3,1681.1,back,IND
184,Jose Alvarado,5.9,20.3,1308.7,back,NOP
69,Jaden McDaniels,8.2,20.2,2266.7,front,MIN
185,Max Christie,4.7,20.1,1474.6,back,DAL
70,Tristan Vukcevic,4.9,20.1,604.5,front,WAS
71,Miles Bridges,13.7,20.0,2380.2,front,CHA
186,Tim Hardaway Jr.,8.9,20.0,1335.1,back,DET
187,Scotty Pippen Jr.,8.0,20.0,1871.3,back,MEM
188,Aaron Wiggins,5.6,20.0,1634.0,back,OKC
189,Bogdan Bogdanovic,11.0,19.8,1074.8,back,LAC
190,Ryan Rollins,4.5,19.8,758.6,back,MIL
191,Collin Sexton,11.8,19.8,1757.7,back,UTA
192,Dennis Schroder,10.5,19.8,1915.6,back,DET
193,Moses Moody,5.8,19.8,1310.8,back,GSW
72,Isaiah Hartenstein,10.3,19.8,1928.2,front,OKC
74,Jalen Wilson,5.0,19.8,1346.5,front,BKN
73,Karlo Matkovic,4.4,19.8,790.8,front,NOP
75,Kenrich Williams,5.5,19.5,990.7,front,OKC
194,Kris Dunn,7.5,19.4,1481.2,back,LAC
77,Precious Achiuwa,9.0,19.4,1063.9,front,NYK
76,Dorian Finney-Smith,7.9,19.4,1167.4,front,LAL
195,Ja'Kobe Walter,5.4,19.3,871.5,back,TOR
78,Sandro Mamukelashvili,4.9,19.3,772.4,front,SAS
196,Jalen Pickett,4.4,19.1,493.7,back,DEN
79,Keldon Johnson,11.0,19.0,1747.7,front,SAS
