PLAYER_NAME,PLAYER_ID,TEAM
Antonius Cleveland,1628499,Hawks
Tyler Dorsey,1628416,Hawks
Jaylen Morris,1628537,Hawks
Andrew White III,1628510,Hawks
Malcolm Delaney,1627098,Hawks
Jeremy Evans,202379,Hawks
Damion Lee,1627814,Hawks
Josh Magette,203705,Hawks
Taurean Prince,1627752,Hawks
Dewayne Dedmon,203473,Hawks
Dennis Schröder,203471,Hawks
Miles Plumlee,203101,Hawks
John Collins,1628381,Hawks
Isaiah Taylor,1627819,Hawks
Kent Bazemore,203145,Hawks
Mike Muscala,203488,Hawks
Tyler Cavanaugh,1628463,Hawks
DeAndre' Bembry,1627761,Hawks
Jayson Tatum,1628369,Celtics
Jaylen Brown,1627759,Celtics
Shane Larkin,203499,Celtics
Xavier Silas,202918,Celtics
Kyrie Irving,202681,Celtics
Terry Rozier,1626179,Celtics
Marcus Morris Sr.,202694,Celtics
Gordon Hayward,202330,Celtics
Jabari Bird,1628444,Celtics
Daniel Theis,1628464,Celtics
Abdel Nader,1627846,Celtics
Guerschon Yabusele,1627824,Celtics
Marcus Smart,203935,Celtics
Semi Ojeleye,1628400,Celtics
Al Horford,201143,Celtics
Kadeem Allen,1628443,Celtics
Aron Baynes,203382,Celtics
Greg Monroe,202328,Celtics
Jonathan Gibson,1626780,Celtics
Kevin Love,201567,Cavaliers
Rodney Hood,203918,Cavaliers
George Hill,201588,Cavaliers
JR Smith,2747,Cavaliers
Jordan Clarkson,203903,Cavaliers
Tristan Thompson,202684,Cavaliers
Okaro White,1627855,Cavaliers
Cedi Osman,1626224,Cavaliers
Kendrick Perkins,2570,Cavaliers
Larry Nance Jr.,1626204,Cavaliers
LeBron James,2544,Cavaliers
Kyle Korver,2594,Cavaliers
Jeff Green,201145,Cavaliers
Ante Zizic,1627790,Cavaliers
Jose Calderon,101181,Cavaliers
DeMarcus Cousins,202326,Pelicans
Larry Drew II,203580,Pelicans
Ian Clark,203546,Pelicans
Nikola Mirotic,202703,Pelicans
Charles Cooke,1628429,Pelicans
