PLAYER_NAME,PLAYER_ID,TEAM
Jeff Teague,201952,Hawks
Austin Daye,201948,Hawks
Paul Millsap,200794,Hawks
DeMarre Carroll,201960,Hawks
Pero Antic,203544,Hawks
Elton Brand,1882,Hawks
Shelvin Mack,202714,Hawks
John Jenkins,203098,Hawks
Al Horford,201143,Hawks
Dennis Schröder,203471,Hawks
Kent Bazemore,203145,Hawks
Thabo Sefolosha,200757,Hawks
Kyle Korver,2594,Hawks
Mike Muscala,203488,Hawks
Mike Scott,203118,Hawks
Avery Bradley,202340,Celtics
Isaiah Thomas,202738,Celtics
Jared Sullinger,203096,Celtics
Jonas Jerebko,201973,Celtics
Evan Turner,202323,Celtics
James Young,203923,Celtics
Phil Pressey,203515,Celtics
Brandon Bass,101138,Celtics
Marcus Smart,203935,Celtics
Kelly Olynyk,203482,Celtics
Tyler Zeller,203092,Celtics
Gerald Wallace,2222,Celtics
Chris Babb,203569,Celtics
Gigi Datome,203540,Celtics
Jae Crowder,203109,Celtics
Kevin Love,201567,Cavaliers
James Jones,2592,Cavaliers
Kyrie Irving,202681,Cavaliers
Kendrick Perkins,2570,Cavaliers
Iman Shumpert,202697,Cavaliers
JR Smith,2747,Cavaliers
Matthew Dellavedova,203521,Cavaliers
Joe Harris,203925,Cavaliers
Tristan Thompson,202684,Cavaliers
Anderson Varejao,2760,Cavaliers
Mike Miller,2034,Cavaliers
Timofey Mozgov,202389,Cavaliers
LeBron James,2544,Cavaliers
Shawn Marion,1890,Cavaliers
Brendan Haywood,2217,Cavaliers
Tyreke Evans,201936,Pelicans
Omer Asik,201600,Pelicans
Jeff Withey,203481,Pelicans
Luke Babbitt,202337,Pelicans
Eric Gordon,201569,Pelicans
Jrue Holiday,201950,Pelicans
Toney Douglas,201962,Pelicans
Quincy Pondexter,202347,Pelicans
Anthony Davis,203076,Pelicans
Norris Cole,202708,Pelicans
Jimmer Fredette,202690,Pelicans
Ryan Anderson,201583,Pelicans
Alexis Ajinca,201582,Pelicans
Dante Cunningham,201967,Pelicans
Aaron Brooks,201166,Bulls
Derrick Rose,201565,Bulls
Doug McDermott,203926,Bulls
Kirk Hinrich,2550,Bulls
Joakim Noah,201149,Bulls
Pau Gasol,2200,Bulls
Tony Snell,203503,Bulls
Jimmy Butler III,202710,Bulls
Taj Gibson,201959,Bulls
Mike Dunleavy,2399,Bulls
Cameron Bairstow,203946,Bulls
Nikola Mirotic,202703,Bulls
Nazr Mohammed,1737,Bulls
E'Twaun Moore,202734,Bulls
Amar'e Stoudemire,2405,Mavericks
Raymond Felton,101109,Mavericks
Charlie Villanueva,101111,Mavericks
Greg Smith,202962,Mavericks
J.J. Barea,200826,Mavericks
Tyson Chandler,2199,Mavericks
Al-Farouq Aminu,202329,Mavericks
Dwight Powell,203939,Mavericks
Rajon Rondo,200765,Mavericks
Monta Ellis,101145,Mavericks
Devin Harris,2734,Mavericks
Richard Jefferson,2210,Mavericks
Chandler Parsons,202718,Mavericks
Dirk Nowitzki,1717,Mavericks
Bernard James,203108,Mavericks
Darrell Arthur,201589,Nuggets
Ty Lawson,201951,Nuggets
Randy Foye,200751,Nuggets
Will Barton,203115,Nuggets
JJ Hickson,201581,Nuggets
Danilo Gallinari,201568,Nuggets
Erick Green,203475,Nuggets
Gary Harris,203914,Nuggets
Ian Clark,203546,Nuggets
Wilson Chandler,201163,Nuggets
Jamaal Franklin,203479,Nuggets
Jusuf Nurkić,203994,Nuggets
Jameer Nelson,2749,Nuggets
Kenneth Faried,202702,Nuggets
Joffrey Lauvergne,203530,Nuggets
Ognjen Kuzmic,203136,Warriors
Brandon Rush,201575,Warriors
Marreese Speights,201578,Warriors
Justin Holiday,203200,Warriors
Andre Iguodala,2738,Warriors
David Lee,101135,Warriors
Klay Thompson,202691,Warriors
Andrew Bogut,101106,Warriors
Leandro Barbosa,2571,Warriors
James Michael McAdoo,203949,Warriors
Draymond Green,203110,Warriors
Stephen Curry,201939,Warriors
Festus Ezeli,203105,Warriors
Shaun Livingston,2733,Warriors
Harrison Barnes,203084,Warriors
Trevor Ariza,2772,Rockets
Patrick Beverley,201976,Rockets
Nick Johnson,203910,Rockets
Josh Smith,2746,Rockets
Terrence Jones,203093,Rockets
Joey Dorsey,201595,Rockets
Pablo Prigioni,203143,Rockets
Dwight Howard,2730,Rockets
James Harden,201935,Rockets
Clint Capela,203991,Rockets
Kostas Papanikolaou,203123,Rockets
Donatas Motiejunas,202700,Rockets
Jason Terry,1891,Rockets
KJ McDaniels,203909,Rockets
Corey Brewer,201147,Rockets
Glen Davis,201175,Clippers
Jordan Hamilton,202706,Clippers
Chris Paul,101108,Clippers
JJ Redick,200755,Clippers
DeAndre Jordan,201599,Clippers
Spencer Hawes,201150,Clippers
Jamal Crawford,2037,Clippers
Ekpe Udoh,202327,Clippers
Lester Hudson,201991,Clippers
Hedo Turkoglu,2045,Clippers
Matt Barnes,2440,Clippers
Austin Rivers,203085,Clippers
C.J. Wilcox,203912,Clippers
Dahntay Jones,2563,Clippers
Blake Griffin,201933,Clippers
Nick Young,201156,Lakers
Wayne Ellington,201961,Lakers
Ryan Kelly,203527,Lakers
Carlos Boozer,2430,Lakers
Jordan Clarkson,203903,Lakers
Ronnie Price,101179,Lakers
Wesley Johnson,202325,Lakers
Vander Blue,203505,Lakers
Jabari Brown,203913,Lakers
Jeremy Lin,202391,Lakers
Ed Davis,202334,Lakers
