PLAYER_NAME,PLAYER_ID,TEAM
Jeff Teague,201952,Hawks
Lou Williams,101150,Hawks
Paul Millsap,200794,Hawks
DeMarre Carroll,201960,Hawks
Pero Antic,203544,Hawks
Shelvin Mack,202714,Hawks
John Jenkins,203098,Hawks
Gustavo Ayon,202970,Hawks
Al Horford,201143,Hawks
Dennis Schröder,203471,Hawks
Cartier Martin,201858,Hawks
Kyle Korver,2594,Hawks
Mike Muscala,203488,Hawks
Mike Scott,203118,Hawks
Elton Brand,1882,Hawks
Avery Bradley,202340,Celtics
Keith Bogans,2586,Celtics
Jared Sullinger,203096,Celtics
Jeff Green,201145,Celtics
Rajon Rondo,200765,Celtics
Jerryd Bayless,201573,Celtics
Chris Johnson,203187,Celtics
Phil Pressey,203515,Celtics
Brandon Bass,101138,Celtics
Vitor Faverani,203543,Celtics
Kelly Olynyk,203482,Celtics
Kris Humphries,2743,Celtics
Gerald Wallace,2222,Celtics
Joel Anthony,201202,Celtics
Chris Babb,203569,Celtics
CJ Miles,101139,Cavaliers
Jarrett Jack,101127,Cavaliers
Kyrie Irving,202681,Cavaliers
Dion Waiters,203079,Cavaliers
Matthew Dellavedova,203521,Cavaliers
Luol Deng,2736,Cavaliers
Sergey Karasev,203508,Cavaliers
Tristan Thompson,202684,Cavaliers
Anthony Bennett,203461,Cavaliers
Anderson Varejao,2760,Cavaliers
Scotty Hopson,203816,Cavaliers
Carrick Felix,203467,Cavaliers
Spencer Hawes,201150,Cavaliers
Alonzo Gee,202087,Cavaliers
Tyler Zeller,203092,Cavaliers
Al-Farouq Aminu,202329,Pelicans
Tyreke Evans,201936,Pelicans
Darius Miller,203121,Pelicans
Anthony Morrow,201627,Pelicans
Melvin Ely,2408,Pelicans
Jeff Withey,203481,Pelicans
Luke Babbitt,202337,Pelicans
Eric Gordon,201569,Pelicans
Jrue Holiday,201950,Pelicans
Jason Smith,201160,Pelicans
Brian Roberts,203148,Pelicans
Anthony Davis,203076,Pelicans
Austin Rivers,203085,Pelicans
James Southerland,203480,Pelicans
Ryan Anderson,201583,Pelicans
Alexis Ajinca,201582,Pelicans
Derrick Rose,201565,Bulls
Carlos Boozer,2430,Bulls
Mike James,2229,Bulls
Greg Smith,202962,Bulls
Ronnie Brewer,200758,Bulls
Kirk Hinrich,2550,Bulls
Joakim Noah,201149,Bulls
D.J. Augustin,201571,Bulls
Lou Amundson,200811,Bulls
Tony Snell,203503,Bulls
Jimmy Butler III,202710,Bulls
Taj Gibson,201959,Bulls
