,Player,$,Form,TP.,Pos,team
0,Nikola Jokic,21.1,61.2,3333.2,front,DEN
9,Trey Murphy III,10.8,41.8,1547.0,front,NOP
20,Jaden McDaniels,8.2,35.3,1612.7,front,MIN
4,Kel'el Ware,6.1,27.3,868.5,front,MIA
0,Jaxson Hayes,5.6,22.0,565.3,front,LAL
0,Shai Gilgeous-Alexander,17.5,53.5,3026.7,back,OKC
4,Amen Thompson,10.5,42.2,1880.3,back,HOU
23,Josh Hart,10.7,33.9,2091.4,back,NYK
3,Keon Johnson,5.0,29.8,1108.3,back,BKN
4,Isaiah Collier,5.3,29.6,973.4,back,UTA
