,Player,$,Form,TP.,Pos,team
107,Klay Thompson,9.9,23.2,1171.1,back,DAL
108,Guerschon Yabusele,5.9,23.0,1220.8,front,PHI
109,Nickeil Alexander-Walker,6.4,22.9,1072.0,back,MIN
110,De'Andre Hunter,9.4,22.8,1109.1,back,CLE
111,Wendell Carter Jr.,9.5,22.8,1090.3,front,ORL
112,Devin Vassell,12.0,22.6,1085.2,back,SAS
113,Zaccharie Risacher,8.3,22.4,1037.4,front,ATL
114,Aaron Gordon,11.5,22.4,858.7,front,DEN
115,Bradley Beal,12.2,22.2,1213.8,back,PHX
116,Goga Bitadze,5.3,22.1,1315.8,front,ORL
117,Harrison Barnes,7.4,22.1,1117.9,front,SAS
118,Richaun Holmes,4.8,22.1,340.7,front,WAS
119,Kyshawn George,4.9,22.0,1009.3,front,WAS
120,Jaxson Hayes,5.6,22.0,565.3,front,LAL
121,Bennedict Mathurin,9.5,22.0,1444.9,back,IND
122,Deandre Ayton,12.9,22.0,1300.2,front,POR
123,Naji Marshall,5.7,21.9,974.5,front,DAL
124,Yves Missi,5.4,21.7,1350.9,front,NOP
125,Max Strus,10.0,21.7,570.7,back,CLE
126,Jimmy Butler,13.9,21.6,1081.5,front,GSW
127,Thomas Bryant,5.4,21.6,645.5,front,IND
128,Ayo Dosunmu,9.5,21.5,1163.2,back,CHI
129,Jeremy Sochan,9.4,21.4,948.4,front,SAS
130,Immanuel Quickley,11.8,21.4,514.0,back,TOR
131,Anthony Black,5.0,21.3,1129.9,back,ORL
132,Moses Moody,5.8,21.3,796.1,back,GSW
133,Quentin Grimes,5.1,21.3,1121.7,back,PHI
134,John Collins,11.5,21.3,1283.1,front,UTA
135,Nick Richards,9.5,21.2,881.4,front,PHX
136,RJ Barrett,12.7,21.1,1702.0,front,TOR
137,Daniel Gafford,11.9,20.9,1446.5,front,DAL
138,Nikola Jovic,6.4,20.7,999.5,front,MIA
139,Keon Ellis,5.3,20.6,1011.8,back,SAC
140,Lauri Markkanen,14.4,20.6,1335.3,front,UTA
141,Moussa Diabate,4.5,20.5,855.5,front,CHA
142,Obi Toppin,7.9,20.3,1055.8,front,IND
143,Kevon Looney,5.4,20.0,953.6,front,GSW
144,Gary Trent Jr.,8.9,19.9,891.1,back,MIL
145,Miles McBride,5.3,19.8,874.6,back,NYK
146,Jordan Clarkson,10.9,19.7,865.6,back,UTA
147,Grayson Allen,9.3,19.7,949.3,back,PHX
148,Spencer Dinwiddie,8.9,19.5,1152.3,back,DAL
149,Tyus Jones,11.4,19.5,1344.6,back,PHX
150,D'Angelo Russell,12.4,19.5,1192.1,back,BKN
151,Andrew Nembhard,7.9,19.5,955.2,back,IND
152,P.J. Washington,9.8,19.4,1464.5,front,DAL
153,Joel Embiid,17.8,19.4,799.5,front,PHI
154,Corey Kispert,8.3,19.3,971.2,front,WAS
155,Buddy Hield,9.4,19.2,1155.6,back,GSW
156,Cameron Johnson,9.3,19.2,1288.6,front,BKN
157,Kyle Filipowski,4.4,19.2,785.5,front,UTA
158,Aaron Nesmith,9.5,19.1,362.1,front,IND
159,Georges Niang,5.9,19.0,959.8,front,ATL
160,T.J. McConnell,9.4,19.0,1210.7,back,IND
